problem_id,coverage_group,num_plans,num_codes_per_plan,mean_q_binary,best_q_binary,best_mean_gap_binary,mean_q_tpr,best_q_tpr,best_mean_gap_tpr,between_plan_var_binary,within_plan_coder_var_binary,between_share_binary,within_share_binary,between_plan_var_tpr,num_usable_plans,num_stable_050_plans,num_stable_075_plans,num_perfect_plans,num_binary_zero_plans,num_binary_zero_tpr_positive,binary_zero_tpr_positive_rate,num_binary_zero_tpr_ge_025,binary_zero_tpr_ge_025_rate,num_binary_zero_tpr_ge_050,binary_zero_tpr_ge_050_rate,best_binary_plan_index,best_tpr_plan_index,best_plan_index_disagreement,binary_profile,q_binary_profile,q_tpr_profile
deepcoder_taco_00483,STABLE_COVERAGE,8,4,0.875,1.0,0.125,0.903125,1.0,0.09687500000000004,0.109375,0.0,1.0,0.0,0.06569335937500001,7,7,7,7,1,1,1.0,0,0.0,0,0.0,0,0,0,4/4 | 4/4 | 4/4 | 0/4 | 4/4 | 4/4 | 4/4 | 4/4,1.0000 | 1.0000 | 1.0000 | 0.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000,1.0000 | 1.0000 | 1.0000 | 0.2250 | 1.0000 | 1.0000 | 1.0000 | 1.0000
deepcoder_taco_00486,STABLE_COVERAGE,8,4,0.375,1.0,0.625,0.65625,1.0,0.34375,0.09375,0.140625,0.4,0.6,0.0363671875,6,4,1,1,2,2,1.0,2,1.0,1,0.5,3,3,0,0/4 | 2/4 | 2/4 | 4/4 | 2/4 | 1/4 | 0/4 | 1/4,0.0000 | 0.5000 | 0.5000 | 1.0000 | 0.5000 | 0.2500 | 0.0000 | 0.2500,0.4000 | 0.8500 | 0.7000 | 1.0000 | 0.6500 | 0.4750 | 0.7000 | 0.4750
deepcoder_taco_00488,STABLE_COVERAGE,8,4,0.6875,1.0,0.3125,0.6875,1.0,0.3125,0.02734375,0.1875,0.12727272727272726,0.8727272727272727,0.02734375,8,8,5,1,0,0,0.0,0,0.0,0,0.0,3,3,0,3/4 | 3/4 | 3/4 | 4/4 | 2/4 | 2/4 | 3/4 | 2/4,0.7500 | 0.7500 | 0.7500 | 1.0000 | 0.5000 | 0.5000 | 0.7500 | 0.5000,0.7500 | 0.7500 | 0.7500 | 1.0000 | 0.5000 | 0.5000 | 0.7500 | 0.5000
deepcoder_taco_00515,STABLE_COVERAGE,8,4,0.375,1.0,0.625,0.390625,1.0,0.609375,0.140625,0.09375,0.6,0.4,0.130615234375,5,3,3,1,3,1,0.3333333333333333,0,0.0,0,0.0,1,1,0,3/4 | 4/4 | 0/4 | 1/4 | 3/4 | 0/4 | 0/4 | 1/4,0.7500 | 1.0000 | 0.0000 | 0.2500 | 0.7500 | 0.0000 | 0.0000 | 0.2500,0.7500 | 1.0000 | 0.0000 | 0.2500 | 0.7500 | 0.1250 | 0.0000 | 0.2500
deepcoder_taco_00534,NO_COVERAGE,8,4,0.0,0.0,0.0,0.134375,0.35,0.21562499999999998,0.0,0.0,0.0,0.0,0.008896484374999998,0,0,0,0,8,8,1.0,1,0.125,0,0.0,0,4,1,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0250 | 0.1000 | 0.1750 | 0.1750 | 0.3500 | 0.1000 | 0.0750 | 0.0750
deepcoder_taco_00535,NO_COVERAGE,8,4,0.0,0.0,0.0,0.24062499999999998,0.7,0.459375,0.0,0.0,0.0,0.0,0.09749023437499998,0,0,0,0,8,3,0.375,3,0.375,3,0.375,0,6,1,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.5750 | 0.0000 | 0.0000 | 0.0000 | 0.6500 | 0.7000 | 0.0000
deepcoder_taco_00547,STABLE_COVERAGE,8,4,0.40625,1.0,0.59375,0.440625,1.0,0.559375,0.1240234375,0.1171875,0.5141700404858299,0.48582995951417,0.109052734375,6,3,3,1,2,1,0.5,0,0.0,0,0.0,2,2,0,3/4 | 1/4 | 4/4 | 0/4 | 1/4 | 0/4 | 1/4 | 3/4,0.7500 | 0.2500 | 1.0000 | 0.0000 | 0.2500 | 0.0000 | 0.2500 | 0.7500,0.7500 | 0.2500 | 1.0000 | 0.1250 | 0.2500 | 0.0000 | 0.4000 | 0.7500
deepcoder_taco_00554,NO_COVERAGE,8,4,0.0,0.0,0.0,0.08125,0.15,0.06874999999999999,0.0,0.0,0.0,0.0,0.0037109375,0,0,0,0,8,6,0.75,0,0.0,0,0.0,0,1,1,0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4 | 0/4,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0500 | 0.1500 | 0.0000 | 0.0500 | 0.1500 | 0.1000 | 0.0000 | 0.1500
deepcoder_taco_00564,STABLE_COVERAGE,8,4,0.34375,1.0,0.65625,0.54375,1.0,0.45625000000000004,0.0927734375,0.1328125,0.41125541125541126,0.5887445887445888,0.0377734375,6,3,1,1,2,2,1.0,2,1.0,0,0.0,0,0,0,4/4 | 1/4 | 1/4 | 2/4 | 2/4 | 0/4 | 1/4 | 0/4,1.0000 | 0.2500 | 0.2500 | 0.5000 | 0.5000 | 0.0000 | 0.2500 | 0.0000,1.0000 | 0.4500 | 0.5500 | 0.6000 | 0.6000 | 0.4000 | 0.3500 | 0.4000
deepcoder_taco_00568,STABLE_COVERAGE,8,4,0.6875,1.0,0.3125,0.71875,1.0,0.28125,0.12109375,0.09375,0.5636363636363636,0.43636363636363634,0.0993359375,7,6,6,3,1,1,1.0,0,0.0,0,0.0,0,0,0,4/4 | 4/4 | 0/4 | 4/4 | 3/4 | 3/4 | 3/4 | 1/4,1.0000 | 1.0000 | 0.0000 | 1.0000 | 0.7500 | 0.7500 | 0.7500 | 0.2500,1.0000 | 1.0000 | 0.1500 | 1.0000 | 0.8000 | 0.7500 | 0.8000 | 0.2500
