problem_id,difficulty,pattern,direct_passed,self_plan_passed,teacher_plan_passed,direct_test_pass_ratio,self_plan_test_pass_ratio,teacher_plan_test_pass_ratio
abc358_b,easy,F-F-P,False,False,True,0.0,0.0,1.0
abc358_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc357_a,easy,F-P-P,False,True,True,0.7368421052631579,1.0,1.0
abc357_b,easy,P-F-F,True,False,False,1.0,0.0,0.0
abc356_a,easy,P-F-F,True,False,False,1.0,0.7777777777777778,0.2777777777777778
abc356_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc355_b,easy,F-F-F,False,False,False,0.4,0.5,0.9
abc355_a,easy,F-F-P,False,False,True,0.6666666666666666,0.5833333333333334,1.0
abc354_b,easy,F-P-P,False,True,True,0.0,1.0,1.0
abc354_a,easy,F-F-P,False,False,True,0.0,0.7391304347826086,1.0
abc353_b,easy,F-F-P,False,False,True,0.0,0.0,1.0
abc353_a,easy,F-F-P,False,False,True,0.4,0.4666666666666667,1.0
abc352_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc352_b,easy,F-F-P,False,False,True,0.22727272727272727,0.0,1.0
abc351_a,easy,F-F-P,False,False,True,0.0,0.5,1.0
abc351_b,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc350_a,easy,F-F-P,False,False,True,0.0,0.5,1.0
abc350_b,easy,F-F-F,False,False,False,0.3,0.0,0.0
abc349_a,easy,F-F-P,False,False,True,0.1,0.0,1.0
abc349_b,easy,F-P-P,False,True,True,0.5294117647058824,1.0,1.0
abc348_b,easy,P-F-F,True,False,False,1.0,0.0,0.0
abc348_a,easy,P-P-P,True,True,True,1.0,1.0,1.0
abc400_c,medium,F-F-P,False,False,True,0.023255813953488372,0.023255813953488372,1.0
abc400_d,medium,F-F-F,False,False,False,0.0,0.0,0.6590909090909091
abc399_d,medium,F-F-F,False,False,False,0.0,0.0,0.0
abc399_c,medium,F-F-P,False,False,True,0.0,0.23255813953488372,1.0
arc195_a,medium,F-F-F,False,False,False,0.813953488372093,0.8604651162790697,0.9767441860465116
abc398_b,medium,F-F-F,False,False,False,0.9545454545454546,0.6136363636363636,0.8409090909090909
abc398_c,medium,F-F-P,False,False,True,0.35714285714285715,0.23809523809523808,1.0
abc397_c,medium,P-F-F,True,False,False,1.0,0.023809523809523808,0.0
abc397_b,medium,F-F-F,False,False,False,0.06976744186046512,0.18604651162790697,0.18604651162790697
arc194_a,medium,F-F-F,False,False,False,0.23255813953488372,0.11627906976744186,0.046511627906976744
abc396_c,medium,F-F-F,False,False,False,0.023255813953488372,0.11627906976744186,0.16279069767441862
abc396_d,medium,F-F-F,False,False,False,0.0,0.06976744186046512,0.0
abc395_c,medium,P-P-F,True,True,False,1.0,1.0,0.6511627906976745
abc394_c,medium,P-P-F,True,True,False,1.0,1.0,0.3488372093023256
abc394_d,medium,F-F-F,False,False,False,0.9767441860465116,0.9767441860465116,0.9767441860465116
arc192_a,medium,F-F-F,False,False,False,0.09302325581395349,0.11627906976744186,0.11627906976744186
abc392_d,medium,F-F-F,False,False,False,0.14285714285714285,0.0,0.0
abc392_c,medium,F-F-F,False,False,False,0.09523809523809523,0.16666666666666666,0.09523809523809523
abc391_d,medium,F-F-F,False,False,False,0.0,0.047619047619047616,0.047619047619047616
arc191_a,medium,F-F-F,False,False,False,0.20930232558139536,0.0,0.16279069767441862
abc390_d,medium,F-F-F,False,False,False,0.0,0.3953488372093023,0.0
abc390_c,medium,F-F-F,False,False,False,0.9534883720930233,0.813953488372093,0.813953488372093
abc389_d,medium,F-F-F,False,False,False,0.0,0.023255813953488372,0.0
abc388_d,medium,F-F-F,False,False,False,0.06976744186046512,0.09302325581395349,0.023255813953488372
abc388_c,medium,F-F-F,False,False,False,0.9069767441860465,0.7674418604651163,0.11627906976744186
abc387_c,medium,F-F-F,False,False,False,0.023255813953488372,0.6976744186046512,0.046511627906976744
abc386_c,medium,F-F-P,False,False,True,0.9130434782608695,0.9130434782608695,1.0
abc385_c,medium,F-F-F,False,False,False,0.627906976744186,0.627906976744186,0.7441860465116279
abc384_d,medium,F-F-P,False,False,True,0.7272727272727273,0.8636363636363636,1.0
abc384_c,medium,F-F-F,False,False,False,0.0,0.0,0.023255813953488372
arc189_a,medium,F-F-F,False,False,False,0.42857142857142855,0.07142857142857142,0.8333333333333334
abc383_c,medium,F-F-F,False,False,False,0.37209302325581395,0.4186046511627907,0.3488372093023256
abc383_b,medium,F-F-F,False,False,False,0.18604651162790697,0.11627906976744186,0.16279069767441862
abc383_d,medium,F-F-F,False,False,False,0.023809523809523808,0.023809523809523808,0.0
abc382_c,medium,P-P-F,True,True,False,1.0,1.0,0.0
abc381_c,medium,F-F-F,False,False,False,0.11627906976744186,0.0,0.5348837209302325
abc380_c,medium,F-F-F,False,False,False,0.0,0.0,0.0
abc380_d,medium,F-F-F,False,False,False,0.023255813953488372,0.046511627906976744,0.023255813953488372
abc379_c,medium,F-F-F,False,False,False,0.5,0.7142857142857143,0.8095238095238095
abc379_d,medium,F-F-F,False,False,False,0.0,0.0,0.19047619047619047
abc378_c,medium,F-F-F,False,False,False,0.30952380952380953,0.0,0.0
abc377_c,medium,F-F-F,False,False,False,0.17142857142857143,0.08571428571428572,0.2857142857142857
abc377_d,medium,F-F-F,False,False,False,0.15625,0.0,0.1875
abc376_b,medium,F-F-F,False,False,False,0.0,0.0,0.0
abc376_d,medium,F-F-F,False,False,False,0.0,0.05128205128205128,0.1282051282051282
abc376_c,medium,F-F-F,False,False,False,0.06666666666666667,0.13333333333333333,0.43333333333333335
abc375_c,medium,F-F-F,False,False,False,0.0,0.0,0.0
abc375_d,medium,F-F-F,False,False,False,0.029411764705882353,0.029411764705882353,0.08823529411764706
abc374_c,medium,F-F-P,False,False,True,0.13333333333333333,0.13333333333333333,1.0
abc374_d,medium,F-F-F,False,False,False,0.0,0.0,0.0
abc373_c,medium,F-F-F,False,False,False,0.15,0.25,0.0
abc372_c,medium,F-F-F,False,False,False,0.0,0.0,0.0
abc372_d,medium,F-F-F,False,False,False,0.07142857142857142,0.0,0.10714285714285714
abc371_d,medium,F-F-F,False,False,False,0.0,0.0,0.0
abc371_c,medium,F-F-F,False,False,False,0.0,0.0,0.0
abc370_c,medium,F-F-F,False,False,False,0.0,0.0,0.0
abc370_d,medium,F-F-F,False,False,False,0.0,0.0,0.0
abc369_d,medium,F-F-F,False,False,False,0.07407407407407407,0.07407407407407407,0.14814814814814814
abc369_c,medium,F-F-F,False,False,False,0.0,0.0,0.047619047619047616
arc183_a,medium,F-F-F,False,False,False,0.034482758620689655,0.10344827586206896,0.06896551724137931
abc368_c,medium,F-F-F,False,False,False,0.09523809523809523,0.047619047619047616,0.047619047619047616
abc367_d,medium,F-F-F,False,False,False,0.0,0.03571428571428571,0.0
abc367_c,medium,F-F-F,False,False,False,0.0,0.19047619047619047,0.19047619047619047
abc366_d,medium,F-F-F,False,False,False,0.0,0.0,0.0
abc366_c,medium,F-F-F,False,False,False,0.35,0.0,0.0
arc181_a,medium,F-F-F,False,False,False,0.3157894736842105,0.15789473684210525,0.3684210526315789
abc365_d,medium,F-F-F,False,False,False,0.0,0.043478260869565216,0.043478260869565216
abc365_c,medium,F-F-F,False,False,False,0.0,0.0,0.2608695652173913
abc364_c,medium,F-F-F,False,False,False,0.43478260869565216,0.30434782608695654,0.21739130434782608
abc363_c,medium,F-F-F,False,False,False,0.0967741935483871,0.3548387096774194,0.0967741935483871
abc363_d,medium,F-F-F,False,False,False,0.0,0.0,0.05
abc362_c,medium,F-F-F,False,False,False,0.22580645161290322,0.03225806451612903,0.22580645161290322
abc361_b,medium,P-F-P,True,False,True,1.0,0.8636363636363636,1.0
abc361_c,medium,F-F-F,False,False,False,0.16129032258064516,0.0,0.41935483870967744
abc360_c,medium,F-F-P,False,False,True,0.13636363636363635,0.09090909090909091,1.0
abc360_d,medium,F-F-F,False,False,False,0.045454545454545456,0.0,0.0
abc359_c,medium,F-F-F,False,False,False,0.12903225806451613,0.0,0.0
abc358_c,medium,F-F-F,False,False,False,0.13043478260869565,0.08695652173913043,0.2608695652173913
abc358_d,medium,F-F-P,False,False,True,0.21739130434782608,0.4782608695652174,1.0
abc357_c,medium,F-F-F,False,False,False,0.0,0.1111111111111111,0.0
abc357_d,medium,F-F-F,False,False,False,0.13043478260869565,0.13043478260869565,0.2608695652173913
abc356_d,medium,F-F-F,False,False,False,0.16129032258064516,0.16129032258064516,0.3548387096774194
abc356_c,medium,F-F-F,False,False,False,0.0,0.0,0.5806451612903226
abc355_c,medium,F-F-F,False,False,False,0.2857142857142857,0.0,0.0
abc355_d,medium,F-F-F,False,False,False,0.13636363636363635,0.13636363636363635,0.0
abc354_c,medium,F-F-F,False,False,False,0.0,0.0,0.11764705882352941
abc353_c,medium,F-F-F,False,False,False,0.18181818181818182,0.18181818181818182,0.09090909090909091
abc353_d,medium,F-F-F,False,False,False,0.13636363636363635,0.13636363636363635,0.0
abc352_c,medium,F-F-P,False,False,True,0.13043478260869565,0.043478260869565216,1.0
abc351_c,medium,F-F-P,False,False,True,0.18518518518518517,0.18518518518518517,1.0
abc350_d,medium,F-F-F,False,False,False,0.14285714285714285,0.17857142857142858,0.21428571428571427
abc349_c,medium,F-F-F,False,False,False,0.6071428571428571,0.6071428571428571,0.9642857142857143
abc348_c,medium,P-F-P,True,False,True,1.0,0.13636363636363635,1.0
abc347_c,medium,F-F-P,False,False,True,0.5714285714285714,0.6071428571428571,1.0
abc346_d,medium,F-F-F,False,False,False,0.043478260869565216,0.17391304347826086,0.0
abc346_c,medium,F-F-P,False,False,True,0.18181818181818182,0.0,1.0
abc344_c,medium,F-F-F,False,False,False,0.09523809523809523,0.0,0.0
abc343_c,medium,F-F-F,False,False,False,0.7333333333333333,0.7333333333333333,0.2
abc343_d,medium,F-F-F,False,False,False,0.2,0.0,0.0
abc342_c,medium,F-F-F,False,False,False,0.6666666666666666,0.6666666666666666,0.2
arc196_b,hard,F-F-F,False,False,False,0.0,0.0,0.0
arc196_c,hard,F-F-F,False,False,False,0.16279069767441862,0.023255813953488372,0.0
arc196_a,hard,F-F-F,False,False,False,0.18604651162790697,0.06976744186046512,0.0
arc196_d,hard,F-F-F,False,False,False,0.0,0.047619047619047616,0.023809523809523808
abc400_e,hard,F-F-F,False,False,False,0.0,0.6,0.0
abc400_g,hard,F-F-F,False,False,False,0.0,0.0,0.0
abc399_e,hard,F-F-F,False,False,False,0.3409090909090909,0.11363636363636363,0.5681818181818182
abc399_f,hard,F-F-F,False,False,False,0.023255813953488372,0.046511627906976744,0.0
arc195_e,hard,F-F-F,False,False,False,0.0,0.0,0.0
arc195_b,hard,F-F-F,False,False,False,0.7674418604651163,0.7441860465116279,0.20930232558139536
arc195_c,hard,F-F-F,False,False,False,0.0,0.0,0.0
arc195_d,hard,F-F-F,False,False,False,0.0,0.0,0.0
abc398_f,hard,F-F-F,False,False,False,0.09302325581395349,0.0,0.06976744186046512
abc398_d,hard,F-F-F,False,False,False,0.0,0.046511627906976744,0.11627906976744186
abc398_g,hard,F-F-F,False,False,False,0.3023255813953488,0.0,0.3488372093023256
abc397_d,hard,F-F-F,False,False,False,0.7906976744186046,0.0,0.813953488372093
abc397_f,hard,F-F-F,False,False,False,0.023809523809523808,0.047619047619047616,0.047619047619047616
abc397_g,hard,F-F-F,False,False,False,0.2558139534883721,0.0,0.0
